quality_issue_id,normalized_row_id,episode_id,issue_type,severity,raw_value,suggested_value,status
dq_a940665a0567041f,nr_9212fc0bcfc1c85d,ep_6e3c643877610c93,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_07b18293270478da,nr_f4ccfb2099f424f6,ep_552096b3f6854870,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_475650f40907ef35,nr_19d50e15002056e5,ep_fa1b818e15898076,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_cfa37791c98a749a,nr_76a5660a8ee9de0c,ep_6f127fbc85cfdfa9,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_4e491e61c2ffff74,nr_d060898246368752,ep_c4a83453b5f99735,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e27d13472e14ca98,nr_d060898246368752,ep_c4a83453b5f99735,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_58ccf30860f8031d,nr_9c15ee8f93674027,ep_8be160329669d0b1,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_2c53dfc9e25699e7,nr_4d3ac21ad35f953e,ep_2f0a306145ce5b6c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_63d59dac3f0a689b,nr_f4358ee9da3dfb4f,ep_47d25fbe21b6e97b,MANUAL_RUT_OVERRIDE,LOW,6110153-5,,RESOLVED_AUTO
dq_ef4f6f24e10d9f72,nr_f4358ee9da3dfb4f,ep_47d25fbe21b6e97b,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_d196416ea1f273a0,nr_c8e7d2174f12b483,ep_2e52ac429680c62f,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_fee5d0c6d5b75a99,nr_dd6045cd385905c6,ep_755b0cbeb5ff1640,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_40ed77140015c70a,nr_27eda5773cda010e,ep_1385c724c9237894,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_12d75197295a6b6f,nr_41588e7c3108d05c,ep_67cbde448c9b8831,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a97d4ee704c1e3c1,nr_153b5b69e7599edb,ep_da2346ad48c339fd,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_9a092e7c4d0b568f,nr_153b5b69e7599edb,ep_da2346ad48c339fd,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_62516a2aabda38fd,nr_32bba4bf895c62d8,ep_e5d8b7846b68ee91,MANUAL_RUT_OVERRIDE,LOW,1819391-4,,RESOLVED_AUTO
dq_3c99450e6c045dea,nr_32bba4bf895c62d8,ep_e5d8b7846b68ee91,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_37bf932e23a3303a,nr_30fcca46672b7430,ep_bb2f812b3c759881,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_eaf7d52247b76345,nr_30fcca46672b7430,ep_bb2f812b3c759881,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_424fdf6485ae0342,nr_cf9f02f867c45360,ep_74337ef600139e31,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_75aabfd4d0003938,nr_1fabfbf04ba95251,ep_97566ae5652be0b1,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_ff24b4e5d0fb2b9b,nr_6eeaa9e1578579a8,ep_da1921b8117bf970,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8734ceed7b7ef485,nr_6eeaa9e1578579a8,ep_da1921b8117bf970,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_12a616b8f7f12be2,nr_919170cda14e661d,ep_a9152bc0ff350d12,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_b6168ca274b64532,nr_919170cda14e661d,ep_a9152bc0ff350d12,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_fc3d873d9f47eeba,nr_88b26e8dd42376ff,ep_cea0e142fcec93db,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e8fd1e14067f8c78,nr_d57ba27b17324681,ep_bd428f1eef6ab08f,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e7511da1335e5aa7,nr_2fbb65f4b7f1c386,ep_7c193a2a096ab334,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e3daecbec00f932a,nr_481526e540c6ce4d,ep_0309d73527bc2c0d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_6a533b03cbf3b53b,nr_26d45016c6f6294d,ep_1ec636dde442ea15,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_80af511730e7647f,nr_e343b155268645e8,ep_dfbf98a415e2e25c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_c61e03abf0ae4bf9,nr_e343b155268645e8,ep_dfbf98a415e2e25c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_c04f13e25aca7eae,nr_9fe90d6f32963225,ep_c4ebbd6378c0b286,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_cf0de33e9168e230,nr_9fe90d6f32963225,ep_c4ebbd6378c0b286,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_316d2b165a30fcde,nr_b09ef0de2795757d,ep_038961d4239fc38d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_103fd535c29a9515,nr_ee7ec76479917a64,ep_3884e777051177da,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_318999a290a0f6fe,nr_ee7ec76479917a64,ep_3884e777051177da,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_0f6d9ceb0474d2a7,nr_91b251d0171a486e,ep_01fa54b84509788d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_170d0368c0e1f270,nr_fa9e38c53eb7f0ac,ep_5a025472a86ffd22,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_6c9b6db29f8f4fc6,nr_6c77ff04501da5d1,ep_2b7f4abb9b973b09,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_eb4440f2fe6a2529,nr_6c77ff04501da5d1,ep_2b7f4abb9b973b09,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_294ec20d2e140456,nr_9cf82ec6311f2982,ep_2d3d54d936230d61,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_0ea3494cd9554563,nr_4395893405fd2455,ep_ba5e0f11066d8d24,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_be6fc5e12bcb4a13,nr_c1537f7e516106d9,ep_4a2f40c6cea8d00a,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_be42f69993ae44c1,nr_d915fa6a027ffdbf,ep_1ebf1b7c19673e71,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8981dc3bde3a468e,nr_d915fa6a027ffdbf,ep_1ebf1b7c19673e71,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_3b1ac8d6434eef04,nr_71d6ce7718eb86c1,ep_20a7d4fc2a2afb5b,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_13f0d0ca38b8dbdd,nr_3d2bdc9221d0c0b1,ep_483c95136cb489c1,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_84829a4980692741,nr_7c85eb26c4af2855,ep_f65da994b2165975,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a40ebbe325ea8cbb,nr_7c85eb26c4af2855,ep_f65da994b2165975,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8e78aab61274fae0,nr_7c85eb26c4af2855,ep_f65da994b2165975,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_fef708ca6d7eac31,nr_7875ba27ba1ad4a5,ep_f4e05d693cebd795,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_74a7bca62fb9abf3,nr_7875ba27ba1ad4a5,ep_f4e05d693cebd795,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e63fa40ef6883563,nr_60df530f0df06fda,ep_9c6a0cc0011cbead,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a4e8a2b930df25a4,nr_87d770f31863101e,ep_b71fbb9cea8d13d6,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_d06b182ef7c3c4f5,nr_87d770f31863101e,ep_b71fbb9cea8d13d6,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_671cf176e482193b,nr_3c3569d1fe3a5b44,ep_4140cfd2c170771b,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_f2e3e584eecaa029,nr_2423b2e56962782d,ep_a438ea872a0e50d0,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_db5e51489b05415d,nr_7ae692aaa48c6412,ep_cb0800d5d2ea33c2,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_07c7c72f6d3af707,nr_19f81afb24c776f4,ep_ace649c02ad9d9f3,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_c9a039829dd7a01d,nr_3a30948641e2d0b4,ep_1e7a76fc1c0a9d4c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_56e6acb66dea74c2,nr_ec907e6554e8f933,ep_18afea4e95efa47a,MANUAL_RUT_OVERRIDE,LOW,22677595-1,,RESOLVED_AUTO
dq_829698b76c242f68,nr_b37f6fea636457bb,ep_6203b7b4905b87b5,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e74e1737df95d2ca,nr_f960772f710b1dc7,ep_ffbe8fa9ead8f596,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_bb462122c280f7be,nr_f960772f710b1dc7,ep_ffbe8fa9ead8f596,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_34ea9884bd73b158,nr_a50763c4b3efe25d,ep_6a64939d16af353e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_25893df0e9d31d80,nr_5a4c9a63406a365b,ep_8d220ba0a7641d77,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_02360519be6654f1,nr_47bae90f6f939adc,ep_f22bd0c58a992e85,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_0d29a49acde680c1,nr_ec3313c69b756c46,ep_d0be71834b97d8a5,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_cb03ede91a2e8d96,nr_96864341ca7eb81f,ep_3f8f6fd46ba91138,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_3454f2f3ff671239,nr_36e1a7e7e7451e5f,ep_9d1b6281d7ea2904,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_75630a3d4a7b48f3,nr_b79a342a12a8ee94,ep_7b20cdba2e3851a7,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8fe0e9d858db8ba7,nr_b79a342a12a8ee94,ep_7b20cdba2e3851a7,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_163a9db951602a29,nr_197a8651ae543fc5,ep_ccea8b672c858fb8,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_1a51a6fb23bcde04,nr_e55a504ff41c5f84,ep_3dac6ebeafa5a138,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_de356c1b08cf6011,nr_9eb8fed3a65f44ad,ep_748445d87c51f7c4,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_3f89140d4dd24cef,nr_dfa28d7cc6908fd0,ep_bdc7796fee19441e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_a3ea865beb7985a0,nr_fe0de2e8da0a797e,ep_7e06c4e546ac9765,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_b5384100c2052aad,nr_7d422ac87df05bb1,ep_b09191bcda6ad24e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_ed759de663481cf2,nr_2a00fedd2b79137d,ep_88a49c9535bec0d7,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_4841b67eb1adf676,nr_2a00fedd2b79137d,ep_88a49c9535bec0d7,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_736ce61f9b08ebe8,nr_3de3072937bec89e,ep_8ad31a8a83a0c992,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_e2d491e5268f57bb,nr_4ae09ab525ad4823,ep_6046cdaafc0fd011,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_f4c55b14cc1285aa,nr_d23044daea165c8a,ep_c750925451270b11,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_b0ad62e15157bbb3,nr_8a1ae3e88b09643d,ep_efff2afc76f29379,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_23cded0444bb6576,nr_8a1ae3e88b09643d,ep_efff2afc76f29379,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_6cfe4c102e67fb35,nr_11d716d79da5a5f1,ep_f289029eb48b6775,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_b3f1b909cdda39c1,nr_202db1a8d3dbbda7,ep_675ab8723f13d169,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_13d09e033ce28f24,nr_8146a069f45fa0da,ep_2a8de312c13d2d6c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_d933d42a55fc57fd,nr_8146a069f45fa0da,ep_2a8de312c13d2d6c,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_5959ecb0a1ec773f,nr_f7ac85403caa5973,ep_c83a144e5047447d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_8329365e721552e8,nr_f7ac85403caa5973,ep_c83a144e5047447d,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_baeb5e507affeb98,nr_09ac7c0bba94cd2b,ep_7de6cb123ed5b049,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_7fc3fab64f5a029a,nr_4b186db50615c3b8,ep_d1510efa222bdace,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_7b1e976441da27c3,nr_4b186db50615c3b8,ep_d1510efa222bdace,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_2f7415b9e2dc87d9,nr_b8760d10f8ff113a,ep_33eea8ab700cf94e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_9a24453b02a5e5ff,nr_b8760d10f8ff113a,ep_33eea8ab700cf94e,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_842062ded3dcd9dd,nr_11ef1ac1651048db,ep_64b11b5323179268,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_b3af603e2a15238c,nr_9e9e175d2c1e053a,ep_e642c8f74158c584,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_66632ea6aa620684,nr_9e9e175d2c1e053a,ep_e642c8f74158c584,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
dq_fec1484077a01769,nr_a89f00f9b4fea491,ep_a1d6111e73380180,ENUM_NORMALIZED,LOW,,,RESOLVED_AUTO
